Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/enrollments,1,0,327,327.0,327,327,1904.0,0.03333333333333333,0.0,330,330,330,330,330,330,330,330,330,330,330
GET,/api/events,1,0,507,507.0,507,507,2760.0,0.03333333333333333,0.0,510,510,510,510,510,510,510,510,510,510,510
POST,/api/events,2,0,310,356.0,306,406,1751.0,0.06666666666666667,0.0,410,410,410,410,410,410,410,410,410,410,410
PUT,/api/events/id/de,21,0,310,311.04761904761904,300,331,258.0,0.7,0.0,310,310,310,320,320,330,330,330,330,330,330
POST,/api/trackedEntityAttributes/id/generate,1,0,359,359.0,359,359,216.0,0.03333333333333333,0.0,360,360,360,360,360,360,360,360,360,360,360
GET,/api/trackedEntityAttributes/id/generateAndReserve,3,0,370,358.3333333333333,305,400,2077.6666666666665,0.1,0.0,370,370,400,400,400,400,400,400,400,400,400
POST,/api/trackedEntityInstances,1,0,366,366.0,366,366,1913.0,0.03333333333333333,0.0,370,370,370,370,370,370,370,370,370,370,370
GET,/api/trackedEntityInstances/query ( TC load ),1,0,333,333.0,333,333,10544.0,0.03333333333333333,0.0,330,330,330,330,330,330,330,330,330,330,330
http,"Android: sync teis (10, 10)",3,0,1403,1500.0,1403,1678,11606.0,0.1,0.0,1400,1400,1700,1700,1700,1700,1700,1700,1700,1700,1700
http,Tracker capture: add TEI,1,0,15325,15325.0,15325,15325,0.0,0.03333333333333333,0.0,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
,Aggregated,35,0,310,858.1714285714286,0,15325,1923.0857142857142,1.1666666666666667,0.0,310,330,370,400,1400,1700,15000,15000,15000,15000,15000
