Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/enrollments,1,0,339,339.0,339,339,1904.0,0.03333333333333333,0.0,340,340,340,340,340,340,340,340,340,340,340
GET,/api/events,1,0,570,570.0,570,570,1683.0,0.03333333333333333,0.0,570,570,570,570,570,570,570,570,570,570,570
POST,/api/events,2,0,331,332.0,331,333,1751.0,0.06666666666666667,0.0,330,330,330,330,330,330,330,330,330,330,330
PUT,/api/events/id/de,36,0,330,336.1388888888889,310,424,258.0,1.2,0.0,330,330,330,340,400,410,420,420,420,420,420
POST,/api/trackedEntityAttributes/id/generate,1,0,389,389.0,389,389,202.0,0.03333333333333333,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/api/trackedEntityAttributes/id/generateAndReserve,2,0,381,390.5,381,400,2101.0,0.06666666666666667,0.0,400,400,400,400,400,400,400,400,400,400,400
POST,/api/trackedEntityInstances,1,0,449,449.0,449,449,1913.0,0.03333333333333333,0.0,450,450,450,450,450,450,450,450,450,450,450
GET,/api/trackedEntityInstances/query ( TC load ),1,0,460,460.0,460,460,16505.0,0.03333333333333333,0.0,460,460,460,460,460,460,460,460,460,460,460
http,"Android: sync teis (10, 10)",2,0,1500,1501.0,1469,1533,9947.0,0.06666666666666667,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
,Aggregated,47,0,330,399.0425531914894,0,1533,1257.2978723404256,1.5666666666666667,0.0,330,340,380,400,450,570,1500,1500,1500,1500,1500
