Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/enrollments,1,0,413,413.0,413,413,1904.0,0.037037037037037035,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/api/events,1,0,559,559.0,559,559,2221.0,0.037037037037037035,0.0,560,560,560,560,560,560,560,560,560,560,560
POST,/api/events,2,0,340,409.0,339,479,1751.0,0.07407407407407407,0.0,480,480,480,480,480,480,480,480,480,480,480
PUT,/api/events/id/de,14,0,330,333.42857142857144,321,359,258.0,0.5185185185185185,0.0,330,340,340,340,350,360,360,360,360,360,360
GET,/api/trackedEntityAttributes/id/generateAndReserve,1,1,400,405.0,0,405,2031.0,0.037037037037037035,0.037037037037037035,400,400,400,400,400,400,400,400,400,400,400
POST,/api/trackedEntityInstances,1,0,448,448.0,448,448,1913.0,0.037037037037037035,0.0,450,450,450,450,450,450,450,450,450,450,450
GET,/api/trackedEntityInstances/query ( TC load ),1,0,432,432.0,432,432,6205.0,0.037037037037037035,0.0,430,430,430,430,430,430,430,430,430,430,430
http,"Android: sync teis (10, 10)",2,0,1541,1590.0,1541,1639,10579.0,0.07407407407407407,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
unknown,error,0,1,0,0,0,0,0,0.0,0.037037037037037035,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Aggregated,23,2,340,474.9130434782609,0,1639,1849.8260869565217,0.8518518518518519,0.07407407407407407,340,400,430,450,560,1500,1600,1600,1600,1600,1600
